schema_version,case_kind,seed,method,method_label,success,reached,collision,min_clearance_m,min_ttc_s,arrival_time_s,penalized_travel_time_s,progress_ratio,average_speed_mps,path_length_m,max_longitudinal_acceleration_mps2,max_lateral_acceleration_mps2,jerk_rms_mps3,time_window_violations,degraded_stop,runtime_ms,iterations,iterative_converged
miku-joint-reference-v2,crossing_pedestrian,9,MIKU,MIKU,1,1,0,0.24642683790449432,0.23668301274967032,9.0,9.0,1.0,3.4444445555555556,31.000001,1.9764290144876089,0.0,0.7405407851692657,0,0,6.046591995982453,1,0
miku-joint-reference-v2,vehicle_cut_in,0,B3,B3-JointReference,1,1,0,0.24958179481962306,0.11551691602102053,9.5,9.5,1.0,4.320052868172114,41.04050224763508,3.3214505130962984,1.0,2.5604009439738196,0,0,1098.2888209982775,1,1
miku-joint-reference-v2,vehicle_cut_in,0,MIKU,MIKU,1,1,0,0.2663284565568045,0.3368409968695597,10.0,10.0,1.0,4.100000099999999,41.00000099999999,2.2751522875794628,0.0,0.7483523924551522,0,0,7.683981995796785,1,0
miku-joint-reference-v2,vehicle_cut_in,1,B3,B3-JointReference,1,1,0,0.21028765300619767,0.0707608804258894,8.0,8.0,1.0,5.125,41.0,2.551011316186024,0.0,2.315654214509334,0,0,1809.4548319932073,1,1
miku-joint-reference-v2,vehicle_cut_in,1,MIKU,MIKU,1,1,0,3.1524189915751784,2.3547182997967364,10.0,10.0,1.0,4.100000099999999,41.00000099999999,1.2893048485188476,0.0,0.3598824393926472,0,0,4.436718998476863,1,0
miku-joint-reference-v2,vehicle_cut_in,2,B3,B3-JointReference,1,1,0,0.4074473102958134,0.23777592943091627,7.0,7.0,1.0,5.857142857142857,41.0,2.0,0.0,1.7737047796926229,0,0,1847.1451770019485,1,1
miku-joint-reference-v2,vehicle_cut_in,2,MIKU,MIKU,1,1,0,3.74533917572443,2.557835435483491,10.0,10.0,1.0,4.100000099999998,41.00000099999998,1.1934417323769237,0.0,0.3331242587152729,0,0,4.408608001540415,1,0
miku-joint-reference-v2,vehicle_cut_in,3,B3,B3-JointReference,1,1,0,0.5515353979236046,0.17464254182955105,5.5,5.5,1.0,7.454545454545454,41.0,3.3345293194513275,0.0,2.459193833944818,0,0,1787.2312880062964,1,1
miku-joint-reference-v2,vehicle_cut_in,3,MIKU,MIKU,1,1,0,6.16953372287329,2.7890226524439905,10.0,10.0,1.0,4.100000099999999,41.00000099999999,1.7190496072804904,0.0,0.47983668626977244,0,0,4.167897001025267,1,0
miku-joint-reference-v2,vehicle_cut_in,4,B3,B3-JointReference,1,1,0,0.3364753937668725,0.08335411421553612,8.5,8.5,1.0,4.823529411764706,41.0,2.3133316023720703,0.0,2.5864910514277204,0,0,1673.7088569934713,1,1
miku-joint-reference-v2,vehicle_cut_in,4,MIKU,MIKU,1,1,0,1.2014513465976977,1.597732131899668,10.0,10.0,1.0,4.100000099999998,41.00000099999998,1.2526096982968287,0.0,0.34963975691849836,0,0,4.483166994759813,1,0
miku-joint-reference-v2,vehicle_cut_in,5,B3,B3-JointReference,0,0,0,0.25968293595926606,0.05270064028704223,,15.0,0.9390243902439024,3.85188640793415,38.5188640793415,4.523469778553864,1.0,2.558741856715889,0,1,1087.3474499967415,1,1
miku-joint-reference-v2,vehicle_cut_in,5,MIKU,MIKU,0,0,0,0.25737151190645413,0.4834851765906037,,15.0,0.8364652970099575,3.429507717740826,34.29507717740826,1.5632896253600979,0.0,0.5135716448782525,0,1,18.32293000188656,2,0
miku-joint-reference-v2,vehicle_cut_in,6,B3,B3-JointReference,1,1,0,0.3418173823302624,0.24623861354824358,7.0,7.0,1.0,5.857142857142857,41.0,2.0,0.0,2.0635692760723012,0,0,1841.894418001175,1,1
miku-joint-reference-v2,vehicle_cut_in,6,MIKU,MIKU,1,1,0,3.641137930686586,2.604428209656615,10.0,10.0,1.0,4.1000001,41.000001,1.1465843175699313,0.0,0.3200449929669752,0,0,4.482618998736143,1,0
miku-joint-reference-v2,vehicle_cut_in,7,B3,B3-JointReference,1,1,0,0.41465901412564676,0.20115782764062912,7.0,7.0,1.0,5.857142857142857,41.0,2.331607401509654,0.0,1.8733049161047213,0,0,1867.7915919979569,1,1
miku-joint-reference-v2,vehicle_cut_in,7,MIKU,MIKU,1,1,0,4.111202968833716,2.609001367898327,10.0,10.0,1.0,4.100000099999999,41.00000099999999,1.2554312819482885,0.0,0.35042734288670685,0,0,4.369210990262218,1,0
miku-joint-reference-v2,vehicle_cut_in,8,B3,B3-JointReference,1,1,0,0.21508375318711437,0.14122348278063734,7.0,7.0,1.0,5.861387785900099,41.029714501300695,2.0,1.0,1.6915632502942854,0,0,1828.9673079998465,1,1
miku-joint-reference-v2,vehicle_cut_in,8,MIKU,MIKU,1,1,0,4.2378111886309195,2.8247419971098533,10.0,10.0,1.0,4.100000099999999,41.00000099999999,1.110327080524118,0.0,0.3099245447823155,0,0,4.443063007784076,1,0
miku-joint-reference-v2,vehicle_cut_in,9,B3,B3-JointReference,1,1,0,0.27344699992104493,0.1816158791828092,8.5,8.5,1.0,4.827268795515629,41.03178476188285,2.0,1.0,1.7114221160954424,0,0,1400.4706389969215,1,1
miku-joint-reference-v2,vehicle_cut_in,9,MIKU,MIKU,1,1,0,0.2967066915917984,0.7633047172963507,10.0,10.0,1.0,4.100000099999998,41.00000099999998,1.6785752239402125,0.0,0.515811439269645,0,0,8.08773199969437,1,0
miku-joint-reference-v2,parked_and_oncoming,0,B3,B3-JointReference,1,1,0,0.13871503093081575,0.5179200330826129,9.5,9.5,1.0,4.957868551814924,47.09975124224178,0.7256180680859643,1.0,0.45892116130455657,0,0,9103.893920007977,1,1
miku-joint-reference-v2,parked_and_oncoming,0,MIKU,MIKU,1,1,0,0.22095930565717262,0.7949000170195606,10.0,10.0,1.0,4.703615293886516,47.03615293886516,0.20466091121975893,0.4055750404642381,0.057126806017850994,0,0,6.076904988731258,1,0
miku-joint-reference-v2,parked_and_oncoming,1,B3,B3-JointReference,1,1,0,0.1455976629041583,0.6604327315480529,10.0,10.0,1.0,4.710071719841979,47.10071719841979,2.0,1.0,1.681891749354903,0,0,6430.147563005448,1,1
miku-joint-reference-v2,parked_and_oncoming,1,MIKU,MIKU,1,1,0,0.20886096386364317,0.7847964341909224,10.0,10.0,1.0,4.703860790653992,47.038607906539916,0.2884205357944937,0.405246776119837,0.08050655057489396,0,0,5.811955998069607,1,0
miku-joint-reference-v2,parked_and_oncoming,2,B3,B3-JointReference,1,1,0,0.1425325401964951,0.7212469307271481,10.0,10.0,1.0,4.710071719841979,47.10071719841979,2.4670113157431928,1.0,2.2936540454496246,0,0,4926.498775006621,1,1
miku-joint-reference-v2,parked_and_oncoming,2,MIKU,MIKU,1,1,0,0.2205183378077568,1.5257200510580473,10.0,10.0,0.9999999999999999,4.7026181043490904,47.02618104349091,2.5752018504484298,0.5506920526220105,1.136355762508274,0,0,6.74033400719054,1,0
miku-joint-reference-v2,parked_and_oncoming,3,B3,B3-JointReference,0,0,0,0.2853132905420553,0.6246314154480643,,15.0,0.46808510638297873,2.215936069526685,22.15936069526685,4.6551667493395055,1.0,2.709999554647722,0,1,3425.8163489867,1,1
miku-joint-reference-v2,parked_and_oncoming,3,MIKU,MIKU,0,0,0,0.5387521456926863,3.377919605487535,,15.0,0.12291800292055922,0.5785363512739392,5.785363512739392,3.7103392088233513,0.01310954982017776,1.8153686094840409,0,1,58.40069500845857,1,0
miku-joint-reference-v2,parked_and_oncoming,4,B3,B3-JointReference,1,1,0,0.3336309065388654,0.7432264766259887,7.0,7.0,1.0,6.727235506354684,47.09064854448279,2.1857747611457725,1.0,2.2276500429080253,0,0,6455.390568997245,1,1
miku-joint-reference-v2,parked_and_oncoming,4,MIKU,MIKU,1,1,0,0.2415342322222802,0.818125995267519,10.0,10.0,1.0,4.704290234471918,47.042902344719174,0.3727299610478375,0.4210210320645683,0.10403976047384128,0,0,5.931937994319014,1,0
miku-joint-reference-v2,parked_and_oncoming,5,B3,B3-JointReference,1,1,0,0.07531177890770709,0.7198038812825699,10.0,10.0,1.0,4.718193487330622,47.181934873306226,2.0,1.0,1.681981970687195,0,0,4103.116387996124,1,1
miku-joint-reference-v2,parked_and_oncoming,5,MIKU,MIKU,0,0,0,0.23073388762455727,0.8866071325836311,,15.0,0.4959961521848312,2.33374709754401,23.3374709754401,4.0,0.7622924570584103,2.072936622374593,0,1,45.45485699782148,1,0
miku-joint-reference-v2,parked_and_oncoming,6,B3,B3-JointReference,1,1,0,0.2710763417858515,1.2111573387173198,5.5,5.5,1.0,8.555844266796512,47.05714346738082,2.492560906105197,1.0,1.9212223253370306,0,0,6076.294536003843,1,1
miku-joint-reference-v2,parked_and_oncoming,6,MIKU,MIKU,1,1,0,0.057065017026534104,0.8176764953298294,10.0,10.0,1.0,4.70343770768628,47.0343770768628,0.6341436752084545,0.4304052962788259,0.17700792254254502,0,0,5.987210999592207,1,0
miku-joint-reference-v2,parked_and_oncoming,7,B3,B3-JointReference,1,1,0,0.23086223477025936,0.715213143822484,10.0,10.0,1.0,4.711797188841343,47.11797188841343,2.0774353157368175,1.0,2.379988811704534,0,0,3632.5875089969486,1,1
miku-joint-reference-v2,parked_and_oncoming,7,MIKU,MIKU,0,0,0,1.0108622347702592,3.371717925702302,,15.0,0.09698433763683968,0.4558263868931465,4.558263868931465,4.0,0.0,3.9999999999999964,0,1,18.080038993502967,1,0
miku-joint-reference-v2,parked_and_oncoming,8,B3,B3-JointReference,0,0,0,0.11366355175645976,0.602709552883805,,15.0,0.8191489361702128,3.8566213278298975,38.566213278298974,4.444784405907765,1.0,2.889051027807249,0,1,2218.989832996158,1,1
miku-joint-reference-v2,parked_and_oncoming,8,MIKU,MIKU,0,0,0,0.21045154925729692,1.3281878581261857,,15.0,0.51884762689391,2.4411771799386983,24.411771799386983,3.144414483947841,0.5333913656443867,1.3933918455590732,0,1,32.69331200863235,1,0
miku-joint-reference-v2,parked_and_oncoming,9,B3,B3-JointReference,1,1,0,0.24268386144703058,0.7181523815476822,10.0,10.0,1.0,4.711537451499234,47.11537451499234,4.865280870834587,1.0,3.221204508281943,0,0,2858.179128001211,1,1
miku-joint-reference-v2,parked_and_oncoming,9,MIKU,MIKU,0,0,0,0.7726838614470308,2.9338822394425406,,15.0,0.11005016747703614,0.5172357871420699,5.172357871420698,4.0,0.0,3.9999999999999964,0,1,38.623339001787826,1,0
miku-joint-reference-v2,narrow_multi_obstacle,0,B3,B3-JointReference,1,1,0,0.23965079532623593,,7.0,7.0,1.0,5.574029075738346,39.01820353016842,2.0,1.0,2.0699120912975317,0,0,8425.227208004799,1,1
miku-joint-reference-v2,narrow_multi_obstacle,0,MIKU,MIKU,1,1,0,0.25739801797257433,,12.0,12.0,1.0,3.2500000833333327,39.00000099999999,0.3734137973134492,0.0,0.09684883571507207,0,0,10.20056800916791,1,0
miku-joint-reference-v2,narrow_multi_obstacle,1,B3,B3-JointReference,0,0,0,0.26551826936102474,0.26551826936102474,,17.0,0.2948717948717949,0.9632514161979122,11.559016994374947,2.871313822430981,1.0,1.8709904170448735,0,1,5129.182902004686,1,1
miku-joint-reference-v2,narrow_multi_obstacle,1,MIKU,MIKU,0,0,0,1.5875371149497592,1.7968856878326211,,17.0,0.2564102827181441,0.8337677461942752,10.005212954331302,1.4197594073339055,0.010627838259336705,0.4343293278798795,0,1,22.85954800026957,1,0
miku-joint-reference-v2,narrow_multi_obstacle,2,B3,B3-JointReference,1,1,0,0.20492427385623443,,6.0,6.0,1.0,6.5,39.0,4.0,0.0,2.9099725883871357,0,0,8492.77676299971,1,1
miku-joint-reference-v2,narrow_multi_obstacle,2,MIKU,MIKU,1,1,0,0.21307079870901102,,12.0,12.0,1.0,3.2500000833333327,39.00000099999999,0.3355924131555052,0.0,0.08703945789569935,0,0,10.35512299858965,1,0
miku-joint-reference-v2,narrow_multi_obstacle,3,B3,B3-JointReference,0,0,0,0.2611503754893856,,,17.0,0.3076923076923077,1.0,12.0,2.150185034059529,0.0,1.6656255694257458,0,1,5363.167907999014,1,1
miku-joint-reference-v2,narrow_multi_obstacle,3,MIKU,MIKU,1,1,0,0.22099748963190202,,12.0,12.0,1.0,3.2500048866268876,39.00005863952265,0.23920035575688314,0.0094585269353098,0.06203915367993895,0,0,10.88947500102222,1,0
miku-joint-reference-v2,narrow_multi_obstacle,4,B3,B3-JointReference,0,0,0,0.26196148132223684,,,17.0,0.2948717948717949,0.9583333333333334,11.5,2.83411202130039,0.0,1.8586703945453948,0,1,5347.465507002198,1,1
miku-joint-reference-v2,narrow_multi_obstacle,4,MIKU,MIKU,1,1,0,0.2185719456391335,,12.0,12.0,1.0,3.2500145088955725,39.00017410674687,0.33833808383222463,0.020166986425860896,0.08775157675742697,0,0,10.622670000884682,1,0
miku-joint-reference-v2,narrow_multi_obstacle,5,B3,B3-JointReference,0,0,0,0.23706352422728358,,,17.0,0.3076923076923077,1.0,12.0,2.682959222556775,0.0,1.810373050394946,0,1,5745.5031760036945,1,1
miku-joint-reference-v2,narrow_multi_obstacle,5,MIKU,MIKU,1,1,0,0.22262925815879941,,12.0,12.0,1.0,3.2500145114485957,39.00017413738315,0.31642793064449254,0.018738658811165973,0.08206894574103542,0,0,10.374345001764596,1,0
miku-joint-reference-v2,narrow_multi_obstacle,6,B3,B3-JointReference,1,1,0,0.20058222821717075,,10.0,10.0,1.0,3.9,39.0,0.2431504808128757,0.0,0.14038299555090072,0,0,13429.500826998265,1,1
miku-joint-reference-v2,narrow_multi_obstacle,6,MIKU,MIKU,1,1,0,0.1917583153194409,,12.0,12.0,1.0,3.250002579107825,39.0000309492939,0.252676038618613,0.008317168956904488,0.06553421520420076,0,0,10.831930994754657,1,0
miku-joint-reference-v2,narrow_multi_obstacle,7,B3,B3-JointReference,1,1,0,0.18822558501133035,2.779576625736573,7.5,7.5,1.0,5.202575447547017,39.019315856602624,2.0564969996983997,1.0,2.3258819051253457,0,0,9359.513664996484,1,1
miku-joint-reference-v2,narrow_multi_obstacle,7,MIKU,MIKU,1,1,0,0.17124902341935044,,12.0,12.0,1.0,3.250002364772404,39.00002837726885,0.49914837975161475,0.007143921443838103,0.12945943555315267,0,0,10.612736994517036,1,0
miku-joint-reference-v2,narrow_multi_obstacle,8,B3,B3-JointReference,0,0,0,0.01754652255957545,0.01754652255957545,,17.0,0.2948717948717949,0.9632514161979122,11.559016994374947,2.0,1.0,1.5519230992904554,0,1,4241.566080003395,1,1
miku-joint-reference-v2,narrow_multi_obstacle,8,MIKU,MIKU,0,0,0,1.0908987079865184,1.581176803454879,,17.0,0.25641028282211364,0.8338278240654539,10.005933888785446,1.6249061618319653,0.013040305203920667,0.5129794964214883,0,1,20.612306005205028,1,0
miku-joint-reference-v2,narrow_multi_obstacle,9,B3,B3-JointReference,0,0,0,0.2576655757909454,,,17.0,0.3076923076923077,1.0,12.0,3.3923396575557767,0.0,2.0593922272614065,0,1,3887.599385008798,1,1
miku-joint-reference-v2,narrow_multi_obstacle,9,MIKU,MIKU,1,1,0,0.19894912374106855,,12.0,12.0,1.0,3.250064330997874,39.00077197197449,0.7091625731261274,0.06579693899664221,0.18392884792680622,0,0,10.83761200425215,1,0
miku-joint-reference-v2,interleaved_dynamic,0,B3,B3-JointReference,1,1,0,0.18323078545326768,0.07982730444222101,8.5,8.5,1.0,5.176470588235294,44.0,3.160490741508749,0.0,1.8258242947967382,0,0,12945.963846999803,1,1
miku-joint-reference-v2,interleaved_dynamic,0,MIKU,MIKU,1,1,0,0.1248728048939419,0.21863604345901824,14.0,14.0,1.0,3.1428572142857143,44.000001,2.35280560185957,0.0,0.7815251030355544,0,0,11.140967995743267,1,0
miku-joint-reference-v2,interleaved_dynamic,1,B3,B3-JointReference,1,1,0,0.41009060991889457,0.1601602462845989,7.0,7.0,1.0,6.2954463946106785,44.06812476227475,3.5099078864647844,1.0,1.9493323104912559,0,0,12326.116594995256,1,1
miku-joint-reference-v2,interleaved_dynamic,1,MIKU,MIKU,1,1,0,0.20035346061503967,0.5331995735171242,14.0,14.0,1.0,3.142857681089939,44.000007535259144,3.693493624880519,0.0,1.2843455504718495,0,0,45.374336987151764,1,0
miku-joint-reference-v2,interleaved_dynamic,2,B3,B3-JointReference,1,1,0,0.2235284394943698,0.07045545461100786,9.0,9.0,1.0,4.894888491569731,44.053996424127575,2.8253683849191056,1.0,2.02357320038887,0,0,13283.573603010154,1,1
miku-joint-reference-v2,interleaved_dynamic,2,MIKU,MIKU,1,1,0,0.1429116936230979,0.33486149910580487,14.0,14.0,1.0,3.1428572142857143,44.000001,2.0681207639701267,0.0,0.6492527211003388,0,0,9.723548995680176,1,0
miku-joint-reference-v2,interleaved_dynamic,3,B3,B3-JointReference,1,1,0,0.37462086566304165,0.1609167831895585,8.0,8.0,1.0,5.501558613160028,44.01246890528022,2.1481034735121316,1.0,1.541626375514844,0,0,13844.897572009359,1,1
miku-joint-reference-v2,interleaved_dynamic,3,MIKU,MIKU,1,1,0,0.13300449071384174,0.26661293528337,14.0,14.0,1.0,3.1428572142857143,44.000001,2.5385575746154214,0.0,0.8203220366484972,0,0,10.078885999973863,1,0
miku-joint-reference-v2,interleaved_dynamic,4,B3,B3-JointReference,1,1,0,0.39430596244577565,0.11373291027985409,8.5,8.5,1.0,5.176470588235294,44.0,2.2786032605644166,0.0,1.9414304607725856,0,0,14538.37005198875,1,1
miku-joint-reference-v2,interleaved_dynamic,4,MIKU,MIKU,1,1,0,0.1404431845825609,0.1739274637500346,14.0,14.0,1.0,3.1428572142857143,44.000001,1.5691862352585326,0.0,0.49073058153206855,0,0,9.315591014456004,1,0
miku-joint-reference-v2,interleaved_dynamic,5,B3,B3-JointReference,1,1,0,0.35858669671948684,0.08327039300958576,8.5,8.5,1.0,5.190125684923674,44.11606832185123,2.1850596876811093,1.0,1.549595934739749,0,0,11882.103005002136,1,1
miku-joint-reference-v2,interleaved_dynamic,5,MIKU,MIKU,1,1,0,0.19983961446432802,0.5369454095684402,14.0,14.0,1.0,3.1428580224972342,44.00001231496128,3.4680696384034873,0.0,1.2231630730832816,0,0,40.76907799753826,1,0
miku-joint-reference-v2,interleaved_dynamic,6,B3,B3-JointReference,1,1,0,0.37088037136732344,0.09989508385089707,8.5,8.5,1.0,5.181866796019289,44.04586776616396,4.455007910955338,1.0,2.32606839751813,0,0,12089.382973004831,1,1
miku-joint-reference-v2,interleaved_dynamic,6,MIKU,MIKU,1,1,0,0.20274255060944713,0.5952886379965762,14.0,14.0,1.0,3.1428572142857143,44.000001,3.002207735509441,0.0,0.9885715153966498,0,0,25.817490997724235,1,0
miku-joint-reference-v2,interleaved_dynamic,7,B3,B3-JointReference,1,1,0,0.24927648303697758,0.06660837752078623,8.5,8.5,1.0,5.177937518268261,44.01246890528022,2.401780672670901,1.0,2.201622067883696,0,0,14296.378191007534,1,1
miku-joint-reference-v2,interleaved_dynamic,7,MIKU,MIKU,1,1,0,0.13786546859992777,0.19287003920253984,14.0,14.0,1.0,3.1428572142857143,44.000001,1.9986925809387475,0.0,0.6615109301491144,0,0,9.996163003961556,1,0
miku-joint-reference-v2,interleaved_dynamic,8,B3,B3-JointReference,1,1,0,0.236097467372117,0.06120315879492107,9.0,9.0,1.0,4.895228039893927,44.05705235904534,2.667613918203303,1.0,1.9842908902668026,0,0,12283.882212999742,1,1
miku-joint-reference-v2,interleaved_dynamic,8,MIKU,MIKU,1,1,0,0.20034432408559377,0.5632335730263309,14.0,14.0,1.0,3.142857213583016,44.00000099016222,3.2638285275263694,0.0,1.1049069556299753,0,0,26.9327520072693,1,0
miku-joint-reference-v2,interleaved_dynamic,9,B3,B3-JointReference,1,1,0,0.4978638857121793,0.1266040607874568,10.0,10.0,1.0,4.409435241806442,44.09435241806442,4.236658757948517,1.0,2.697933596313235,0,0,11640.9465510078,1,1
miku-joint-reference-v2,interleaved_dynamic,9,MIKU,MIKU,1,1,0,0.20378879022265872,0.5529388229610492,14.0,14.0,1.0,3.1428572142857147,44.000001000000005,3.437803002005149,0.0,1.2046970575941813,0,0,28.963346005184576,1,0
miku-joint-reference-v2,prediction_noise,0,B3,B3-JointReference,1,1,0,3.389153288807229,1.378751227252714,6.5,6.5,1.0,6.3076923076923075,41.0,2.0,0.0,1.7806527565029735,0,0,1990.6670769996708,1,1
miku-joint-reference-v2,prediction_noise,0,MIKU,MIKU,1,1,0,8.762306108123585,4.2787400179326776,10.0,10.0,1.0,4.098962716418638,40.98962716418638,1.1988044271704432,0.019573426560855228,0.3346211426261835,0,0,4.404809995321557,1,0
miku-joint-reference-v2,prediction_noise,1,B3,B3-JointReference,0,1,1,-0.6472530490174755,0.0,5.0,15.0,1.0,8.2,41.0,2.3127133656421037,0.0,1.9337676294342738,1,0,1983.796837987029,1,1
miku-joint-reference-v2,prediction_noise,1,MIKU,MIKU,0,0,0,14.08511438677099,4.848547660355902,,15.0,0.25368248689527895,1.0479858462880218,10.479858462880218,4.0,0.0,3.9999999999999964,0,1,21.750774001702666,2,1
miku-joint-reference-v2,prediction_noise,2,B3,B3-JointReference,1,1,0,4.945528067553731,2.292390774416751,9.0,9.0,1.0,4.555555555555555,41.0,2.0,0.0,2.1005512870722476,0,0,1437.3100550001254,1,1
miku-joint-reference-v2,prediction_noise,2,MIKU,MIKU,0,0,0,12.11855273920569,3.02186889308035,,15.0,0.2187845296504906,0.9218647686940361,9.218647686940361,4.0,0.0,3.9999999999999964,0,1,21.094671013997868,2,1
miku-joint-reference-v2,prediction_noise,3,B3,B3-JointReference,1,1,0,6.107973475084959,2.3745319193457775,8.5,8.5,1.0,4.827268795515629,41.03178476188285,2.380719301629881,1.0,2.2721255062071997,0,0,1399.3228140025167,1,1
miku-joint-reference-v2,prediction_noise,3,MIKU,MIKU,1,1,0,3.9967657120708555,2.2327754363457637,10.0,10.0,1.0,4.082698382604823,40.82698382604823,1.7324351270018525,0.014204533092318082,0.5828058649009109,0,0,7.772597993607633,1,0
miku-joint-reference-v2,prediction_noise,4,B3,B3-JointReference,0,0,0,7.693934516506094,2.1149927514815903,,15.0,0.6585365853658537,2.7,27.0,4.0,0.0,2.4097132021764858,0,1,577.014295005938,1,1
miku-joint-reference-v2,prediction_noise,4,MIKU,MIKU,0,0,0,8.599552096379615,2.1306128777246687,,15.0,0.23323560717347672,0.9665090583785745,9.665090583785744,4.0,0.0,3.9999999999999964,0,1,36.49225999834016,2,1
miku-joint-reference-v2,prediction_noise,5,B3,B3-JointReference,1,1,0,2.447876970948182,2.0286592464358613,8.5,8.5,1.0,4.827268795515629,41.03178476188285,3.497228994618002,1.0,2.3009695914167,0,0,1201.5462230046978,1,1
miku-joint-reference-v2,prediction_noise,5,MIKU,MIKU,0,0,0,6.8825694506283,2.0361091976683987,,15.0,0.23247848814799912,0.9567281952815655,9.567281952815655,4.0,0.0,3.9999999999999964,0,1,44.23996900732163,2,1
